	Arg	gold
2630	prescription pain medication	meds
2631	president	president
2632	press buttons	press buttons
2633	press conference coronavirus	coronavirus
2634	press conference press microphones	press conference press microphones
2635	press release	news release
2636	press release given developments concerning coronavirus wuhan china wisma putra	coronavirus wuhan china wisma putra
2637	pressuring @who exclude taiwan talk world “ invaluable leader	@who exclude taiwan talk world “ invaluable leader
2638	pretty awful people	people
2639	preve	preve
2640	preve a9 taking care what ’s best also best developing baby check cdc ’s 5	expecting mothers help preve a9 taking care what ’s best also best developing baby check cdc ’s 5
2641	prevent food po	prevent food po
2642	previous studies w cdc 90 ’s this must end need eo	previous studies w cdc 90 ’s this must end need eo
2643	priests	priests
2644	princess diana incredible advocate	princess diana incredible advocate
2645	private cars trucks	private cars trucks
2646	private transport - cars taxis - free play plague mary	private transport - cars taxis - free play plague mary
2647	pro - democracy lawmakers	pro - democracy lawmakers
2648	pro - democracy lawmakers wearing face masks	people wearing masks
2649	pro vaxers	pro vaxers
2650	problem	avoiding problem
2651	problems	problems
2652	problems surrounding people immigration daca homeless	problems surrounding people immigration daca homeless
2653	product use	product use
2654	production	production
2655	prof . turley jerry nadler	prof . turley jerry nadler
2656	professor epidemiology	professor infectious diseases
2657	professor infectious diseases	professor infectious diseases
2658	professor neil ferguson expert mathematical biology imperial college london	disease - modeling experts imperial college london
2659	professor program chair dr . @rodneyrohde	professor program chair dr . @rodneyrohde
2660	professor yi guan @hkumed @hkumph	professor program chair dr . @rodneyrohde
2661	program	program
2662	programs	program
2663	promotion	promotion
2664	prompt measures	prompt measures
2665	protect chi	protect chi
2666	protect citizenry who 's threat existence	protect citizenry who 's threat existence
2667	protect developing baby diseases	developing baby diseases
2668	protect flu	effective well matched circulating viruses year ’s flu vac
2669	protecting common good crippled trump	protecting common good crippled trump
2670	provincial center diseases control	provincial center diseases control
2671	proximityligation	proximityligation
2672	public	public
2673	public access	public access
2674	public donations	public donations
2675	public donations medical supplies	public donations medical supplies
2676	public download track coro	public download track coro
2677	public events	public
2678	public health china	chinese health officials
2679	public health emergency	public health emergency
2680	public health emergency international	public health emergency
2681	public health emergency international concern world health orga	public health emergency
2682	public health i monitoring situation	public health emergency
2683	public health officials	health officials
2684	public health professionals	health professions
2685	public heath emergency wuhancoronavirus coronavirusoutbreak	breaking wuhan coronavirus
2686	public stop paying attention trial super guilty guy	public stop paying attention trial super guilty guy
2687	public talk dr . robert redfield director	public talk dr . robert redfield director
2688	public transport	public transport
2689	public transportation buses trains airplanes ferries better combat coronavirus epidemic	public transportation buses trains airplanes ferries better combat coronavirus epidemic
2690	public trust media	public trust media
2691	publichealth experts community members @cdcenvironment atsdr	publichealth experts community members @cdcenvironment atsdr
2692	pulkovo airport st.petersburg russia	pulkovo airport st.petersburg russia
2693	pumpkin pie	pumpkin pie
2694	purdue professors	purdue professors
2695	purported smoking cessation	purported smoking cessation
2696	put phones down	put phones down
2697	qa	qa
2698	qanon supporters anti - va	qanon supporters anti - va
2699	quarantine	quarantine
2700	quarantine box fuzhou airport	quarantine box fuzhou airport
2701	quarantine infected cities	quarantine infected cities
2702	quarantine influenza	quarantine influenza
2703	quarantine of wuhan city	police city quarantined china wuhan coronavirus
2704	quarantine rush	quarantine rush
2705	quarantine seems medieval day age free movement	quarantine
2706	quarantined 12 million people inside wuhan	patients infected wuhan
2707	quarantines	quarantine
2708	quarantines measures intended prevent spread disease	quarantine
2709	quarantining city	quarantine infected cities
2710	questions	questions
2711	questions i ’ll answering afternoon live qs 5 ask cart	questions i ’ll answering afternoon live qs 5 ask cart
2712	quit	quit
2713	quit smoking	old long smoking quitting
2714	quitting smoking resources	new report smoking cessation
2715	ra	ra
2716	racist hysterical co	racist hysterical co
2717	ransomware healthcare attacks	ransomware healthcare attacks
2718	rapid heartbeat pneumonia shortness	rapid heartbeat pneumonia shortness
2719	rapid sequencing unders	rapid sequencing unders
2720	rapid spread	rapid spread
2721	rapidly - evolving	rapidly - evolving
2722	rapidly evolving	rapidly - evolving
2723	rationing masks	rationing masks
2724	rats	rats
2725	read disease outbreak	outbreak
2726	readers	i reading
2727	real epidemic private health insurers	real epidemic private health insurers
2728	really serious viral outbreak	worsening viral outbreak
2729	reaper	reaper
2730	recent global call action familial hypercholesterolemia fh coul	recent global call action familial hypercholesterolemia fh coul
2731	recent statistics pregnancy - associated cdc deaths pregnancy - rel	around 700 women die year related childbirth
2732	recent travel info	recent travel info
2733	reckless selfish people	people
2734	reco	con crud
2735	record	record
2736	reduce men nothing patriarchal abusers	reduce men nothing patriarchal abusers
2737	reducing preterm births	moms babies reducing risk preterm
2738	referring people chinese virus wuhan clan	referring people chinese virus wuhan clan
2739	regarding wuhan coron	regarding wuhan coron
2740	regional health authorities china	chinese health officials
2741	regular health exams tests	enhanced health screenings
2742	regular situation	regular situation
2743	regular situation reports ncov2019	regular situation reports ncov2019
2744	regulation clean water acts	regulation clean water acts
2745	rehabilitaion physical therapy	rehabilitaion physical therapy
2746	reiterate fact i declaring pheic today taken sign wh	pheic today taken sign wh
2747	related injuries	multiple concussions
2748	relationship wuhan coronovirus outbreak china 's push feed urbaniza	china coronovirus nonsense
2749	relatively early stages dem - mentia epidemic	relatively early stages dem - mentia epidemic
2750	reliable list	reliable list
2751	reminder	reminder
2752	repeated ongoing outbreaks contaminated lettuce	repeated ongoing outbreaks contaminated lettuce
2753	report	report
2754	report smoking cessation	new report smoking cessation
2755	reported symptoms 2019-ncov difficulty breathing fever signs p	reported symptoms 2019-ncov difficulty breathing fever signs p
2756	reporter	reporter
2757	reporters wuhan	chinese reporter ccp
2758	reports n95 masks	n95 masks
2759	reports n95 masks sold locations	buy n95 masks according story
2760	researchers	researchers
2761	researchers health	health professions
2762	residents aware coronavirus information resource	make residents aware coronavirus information resource
2763	respecti	respecti
2764	respirators	3 m 8511 particulate disposable respirator n95
2765	respiratory syncytial virus rsv	deadly virus
2766	respond coronavirus ncov	coronavirus
2767	responding inquiry	responding inquiry
2768	responding rapidly - evolving nove	ongoing work investigating responding rapidly - evolving nove
2769	response	response
2770	response viral pneumonia outbreak	worsening viral outbreak
2771	responsibly	responsibly
2772	restaurants	restaurants
2773	restaurants sell unhealthy food	restaurants sell unhealthy food
2774	restrictions	travel restrictions
2775	return start	return start
2776	reuters china ’s finance ministry	chinese authorities
2777	reversing youth tobacco epidemic act combat yo	reversing youth tobacco epidemic act combat yo
2778	revolting video	revolting video
2779	rewatch contagion 2011 order	rewatch contagion 2011 order
2780	right i suspicious	right i suspicious
2781	risk	risk
2782	risk 2019 novel coronavirus a the first human infection new coronavirus 2019-ncov	suspected case 2019 novel coronavirus
2783	risk cervical cancer	certain types cancer adults including cervical cancer
2784	risk infection	risk infection
2785	risk infertility	risk infertility
2786	risk public low	risk
2787	risk virus low	risk virus low
2788	roads wuhan lockdown	wuhan lockdown
2789	robot treat	robot treat
2790	rodents | rodents	rats
2791	rome	rome
2792	roping	roping
2793	route flights	flights
2794	ru media	ru media
2795	rubella	rubella
2796	rumor coronavirus outbreak	rumor coronavirus outbreak
2797	rumor source inside wuhan china	rumor source inside wuhan china
2798	rumor source inside wuhan china plans	rumor source inside wuhan china
2799	run	run
2800	running test kits	running test kits
2801	russian health officials	russian health officials
